time,velocity,ratio,centerX,Xmax,Xmin,Ymax
0,0,1,2,1,3,1
0.01,0.0189132,1.00001,1.99991,0.999913,2.9999,1
0.02,0.0377679,1.00002,1.99963,0.999645,2.99961,1.00001
0.03,0.0565511,1.00006,1.99916,0.999214,2.99912,1.00001
0.04,0.0752504,1.00011,1.9985,0.998607,2.99843,1.00002
0.05,0.0938664,1.00012,1.99766,0.997781,2.9976,1.00003
0.06,0.112397,1.00018,1.99663,0.996804,2.99654,1.00005
0.07,0.130852,1.00025,1.99541,0.995659,2.99529,1.00006
0.08,0.149226,1.00033,1.99402,0.994336,2.99384,1.00008
0.09,0.167525,1.00042,1.99244,0.992834,2.9922,1.0001
0.1,0.185478,1.00055,1.99067,0.991166,2.99037,1.00015
0.11,0.203491,1.0007,1.98873,0.989334,2.98834,1.0002
0.12,0.221558,1.00085,1.98661,0.987323,2.98614,1.00025
0.13,0.23926,1.00104,1.9843,0.985176,2.98371,1.00031
0.14,0.257184,1.00122,1.98182,0.98285,2.98112,1.00036
0.15,0.274953,1.00139,1.97917,0.980327,2.97837,1.00042
0.16,0.292497,1.00158,1.97633,0.977607,2.97543,1.00048
0.17,0.310125,1.00183,1.97332,0.974746,2.97227,1.00059
0.18,0.327066,1.00212,1.97014,0.971727,2.96888,1.0007
0.19,0.344265,1.00243,1.96678,0.968561,2.9653,1.00079
0.2,0.361554,1.00276,1.96325,0.965247,2.96149,1.00088
0.21,0.378658,1.00309,1.95956,0.961763,2.95756,1.00098
0.22,0.395661,1.00344,1.95569,0.958094,2.95347,1.00112
0.23,0.412593,1.00382,1.95165,0.954279,2.94916,1.00125
0.24,0.429428,1.00422,1.94744,0.950299,2.94465,1.00138
0.25,0.446512,1.00465,1.94306,0.946189,2.93994,1.00151
0.26,0.463203,1.00509,1.93851,0.941909,2.93511,1.00167
0.27,0.479597,1.00554,1.9338,0.937488,2.93007,1.00181
0.28,0.496007,1.00603,1.92893,0.932914,2.92481,1.00196
0.29,0.512289,1.0066,1.92389,0.928254,2.91937,1.00213
0.3,0.52854,1.00714,1.91868,0.923414,2.91381,1.0023
0.31,0.544333,1.00767,1.91332,0.918392,2.90809,1.00248
0.32,0.559323,1.00829,1.90781,0.913229,2.90213,1.00269
0.33,0.575011,1.00884,1.90214,0.907934,2.89611,1.00288
0.34,0.59047,1.00945,1.89631,0.902512,2.88988,1.00307
0.35,0.606124,1.01015,1.89033,0.89695,2.88339,1.0033
0.36,0.62166,1.01078,1.88419,0.891276,2.87687,1.0035
0.37,0.637026,1.01146,1.8779,0.885398,2.87013,1.00374
0.38,0.652344,1.01216,1.87146,0.879422,2.8632,1.00395
0.39,0.667526,1.01281,1.86486,0.87328,2.85624,1.00418
0.4,0.682489,1.01352,1.85811,0.866922,2.84901,1.00444
0.41,0.697441,1.01419,1.85121,0.860487,2.84167,1.00465
0.42,0.712188,1.015,1.84417,0.853964,2.83412,1.00493
0.43,0.726769,1.01571,1.83697,0.847243,2.82645,1.00515
0.44,0.741232,1.01645,1.82963,0.840395,2.81867,1.00541
0.45,0.755542,1.01723,1.82215,0.833401,2.81062,1.00564
0.46,0.769986,1.01797,1.81453,0.826288,2.80258,1.0059
0.47,0.784091,1.01877,1.80676,0.819046,2.79423,1.00613
0.48,0.798316,1.01954,1.79885,0.811664,2.78589,1.0064
0.49,0.81225,1.02032,1.7908,0.804103,2.7773,1.00664
0.5,0.826058,1.02112,1.78261,0.79645,2.7686,1.00691
0.51,0.839854,1.02191,1.77428,0.788639,2.75973,1.00714
0.52,0.853383,1.02269,1.76581,0.7807,2.75081,1.00741
0.53,0.866959,1.02351,1.75721,0.772666,2.74165,1.00764
0.54,0.880381,1.02429,1.74848,0.76447,2.73251,1.00792
0.55,0.893125,1.0251,1.73961,0.756151,2.72312,1.00817
0.56,0.905785,1.02585,1.73062,0.74769,2.71372,1.00843
0.57,0.918749,1.02667,1.7215,0.739126,2.7041,1.00869
0.58,0.931615,1.02744,1.71225,0.730411,2.6944,1.00894
0.59,0.944286,1.02827,1.70287,0.721573,2.68451,1.00922
0.6,0.956873,1.02907,1.69337,0.712621,2.67451,1.00946
0.61,0.969437,1.02987,1.68374,0.703575,2.66447,1.00973
0.62,0.981833,1.0307,1.67398,0.694368,2.65419,1.01
0.63,0.993977,1.03148,1.66411,0.685039,2.64385,1.01023
0.64,1.00609,1.03233,1.65411,0.675603,2.63335,1.01053
0.65,1.01804,1.03319,1.64399,0.666077,2.62272,1.01079
0.66,1.02956,1.03403,1.63375,0.656461,2.61201,1.01104
0.67,1.04119,1.03489,1.6234,0.646674,2.60115,1.01133
0.68,1.05272,1.03576,1.61293,0.636822,2.59014,1.01159
0.69,1.06418,1.03657,1.60235,0.626832,2.57911,1.01184
