time,velocity,ratio,centerX,Xmax,Xmin,Ymax
0,0,1,16,15,17,1
0.01,0.0197587,1,15.9999,14.9999,16.9999,1
0.02,0.0393095,1.00001,15.9996,14.9996,16.9996,1
0.03,0.0586509,1.00001,15.9991,14.9991,16.9991,1
0.04,0.0777836,1.00002,15.9985,14.9985,16.9984,1
0.05,0.0967546,1.00003,15.9976,14.9976,16.9975,0.999999
0.06,0.115567,1.00003,15.9965,14.9965,16.9965,0.999998
0.07,0.13412,1.00005,15.9953,14.9953,16.9952,0.999997
0.08,0.152467,1.00006,15.9939,14.9939,16.9938,0.999994
0.09,0.170629,1.00008,15.9923,14.9923,16.9921,0.999991
0.1,0.188716,1.00012,15.9905,14.9906,16.9903,1.00002
0.11,0.20654,1.00017,15.9885,14.9886,16.9884,1.00004
0.12,0.224222,1.00022,15.9864,14.9865,16.9862,1.00007
0.13,0.241707,1.00028,15.984,14.9842,16.9839,1.00009
0.14,0.259037,1.00034,15.9815,14.9818,16.9814,1.00011
0.15,0.27622,1.00042,15.9789,14.9792,16.9786,1.00014
0.16,0.293204,1.00054,15.976,14.9765,16.9757,1.00017
0.17,0.31002,1.0007,15.973,14.9736,16.9726,1.00023
0.18,0.326668,1.00088,15.9699,14.9705,16.9693,1.00029
0.19,0.343182,1.00109,15.9665,14.9673,16.9658,1.00036
0.2,0.359487,1.00132,15.963,14.9639,16.9621,1.00042
0.21,0.375614,1.0016,15.9593,14.9604,16.9583,1.0005
0.22,0.391602,1.00194,15.9555,14.9568,16.9542,1.00062
0.23,0.407398,1.00229,15.9515,14.9531,16.95,1.00073
0.24,0.422986,1.00267,15.9474,14.9492,16.9455,1.00084
0.25,0.438491,1.0031,15.9431,14.9451,16.9409,1.00097
0.26,0.453774,1.00359,15.9386,14.9409,16.9361,1.00114
0.27,0.468827,1.00411,15.934,14.9366,16.9311,1.00131
0.28,0.483729,1.0047,15.9292,14.9322,16.9258,1.00147
0.29,0.498456,1.00534,15.9243,14.9277,16.9204,1.0017
0.3,0.513006,1.00601,15.9193,14.923,16.9149,1.00193
0.31,0.527365,1.00674,15.9141,14.9183,16.9092,1.00215
0.32,0.541564,1.00756,15.9088,14.9134,16.9032,1.00243
0.33,0.555512,1.00845,15.9033,14.9084,16.897,1.00271
0.34,0.569252,1.00941,15.8977,14.9033,16.8906,1.00299
0.35,0.582852,1.01044,15.8919,14.8981,16.8841,1.00333
0.36,0.596308,1.01156,15.886,14.8928,16.8773,1.00368
0.37,0.6095,1.01273,15.88,14.8875,16.8703,1.00403
0.38,0.622502,1.01402,15.8738,14.882,16.8631,1.00444
0.39,0.635267,1.01534,15.8676,14.8764,16.8557,1.00484
0.4,0.647774,1.01668,15.8611,14.8707,16.8483,1.00528
0.41,0.6603,1.01818,15.8546,14.865,16.8405,1.00575
0.42,0.6724,1.01972,15.8479,14.8591,16.8326,1.0062
0.43,0.684323,1.02144,15.8412,14.8532,16.8244,1.00674
0.44,0.696012,1.02317,15.8343,14.8472,16.8161,1.00726
0.45,0.707515,1.02506,15.8273,14.8411,16.8075,1.00783
0.46,0.718772,1.02699,15.8201,14.8349,16.7987,1.00841
0.47,0.72979,1.02902,15.8129,14.8287,16.7897,1.009
0.48,0.740623,1.03111,15.8055,14.8223,16.7807,1.00964
0.49,0.751186,1.03325,15.7981,14.8159,16.7714,1.01026
0.5,0.761543,1.03559,15.7905,14.8094,16.7619,1.01097
0.51,0.771656,1.03793,15.7829,14.8028,16.7522,1.01165
0.52,0.781381,1.04045,15.7751,14.7962,16.7423,1.01239
0.53,0.791,1.04303,15.7672,14.7895,16.7322,1.01312
0.54,0.800442,1.04566,15.7593,14.7828,16.722,1.0139
0.55,0.809667,1.04837,15.7512,14.7759,16.7117,1.01468
0.56,0.818655,1.05118,15.7431,14.769,16.7011,1.0155
0.57,0.827406,1.05414,15.7349,14.7621,16.6904,1.01633
0.58,0.836012,1.05717,15.7266,14.7551,16.6794,1.01718
0.59,0.844274,1.06029,15.7182,14.748,16.6683,1.01806
0.6,0.852348,1.06347,15.7097,14.7409,16.6571,1.01895
0.61,0.860208,1.06675,15.7011,14.7337,16.6458,1.01988
0.62,0.867901,1.07011,15.6925,14.7265,16.6344,1.02081
0.63,0.875437,1.07358,15.6838,14.7192,16.6227,1.02178
0.64,0.882522,1.07715,15.675,14.7119,16.6109,1.02276
0.65,0.889594,1.08081,15.6661,14.7045,16.5989,1.02377
0.66,0.896511,1.08448,15.6572,14.6971,16.587,1.02478
0.67,0.903168,1.08822,15.6482,14.6896,16.5749,1.02582
0.68,0.909642,1.09205,15.6392,14.682,16.5626,1.02687
0.69,0.915899,1.09598,15.63,14.6744,16.5503,1.02794
0.7,0.922,1.1,15.6208,14.6668,16.5378,1.02902
0.71,0.928089,1.10403,15.6116,14.6591,16.5252,1.03012
0.72,0.933792,1.10812,15.6023,14.6514,16.5127,1.03123
0.73,0.939355,1.11225,15.5929,14.6437,16.5,1.03234
0.74,0.944736,1.11651,15.5835,14.6359,16.4872,1.03349
0.75,0.949981,1.12077,15.574,14.628,16.4743,1.03462
0.76,0.955084,1.1251,15.5645,14.6201,16.4614,1.03581
0.77,0.96006,1.12939,15.5549,14.6122,16.4485,1.03696
0.78,0.96487,1.13384,15.5453,14.6042,16.4355,1.03818
