time,velocity,ratio,centerX,Xmax,Xmin,Ymax
0,0,1,21,20,22,1
0.01,0.0192869,1,20.9999,19.9999,21.9999,1
0.02,0.0374502,1,20.9996,19.9996,21.9996,1
0.03,0.054604,1.00001,20.9992,19.9992,21.9991,1
0.04,0.0707758,1.00001,20.9985,19.9986,21.9985,1
0.05,0.0861288,1.00002,20.9978,19.9978,21.9977,1
0.06,0.100662,1.00002,20.9968,19.9969,21.9968,1
0.07,0.114467,1.00003,20.9958,19.9958,21.9957,0.999999
0.08,0.127598,1.00004,20.9945,19.9946,21.9945,0.999998
0.09,0.140115,1.00004,20.9932,19.9933,21.9932,0.999995
0.1,0.152053,1.00005,20.9917,19.9918,21.9917,0.999996
0.11,0.163245,1.00009,20.9902,19.9903,21.9901,1.00002
0.12,0.174222,1.00012,20.9885,19.9886,21.9885,1.00004
0.13,0.184706,1.00015,20.9867,19.9869,21.9867,1.00006
0.14,0.194733,1.00019,20.9848,19.985,21.9848,1.00007
0.15,0.204333,1.00022,20.9828,19.983,21.9828,1.00008
0.16,0.213558,1.00024,20.9807,19.981,21.9806,1.00009
0.17,0.222383,1.00028,20.9785,19.9788,21.9784,1.00009
0.18,0.230841,1.00033,20.9763,19.9766,21.9761,1.00011
0.19,0.23898,1.0004,20.9739,19.9743,21.9737,1.00014
0.2,0.246837,1.00047,20.9715,19.9719,21.9713,1.00017
0.21,0.254357,1.00055,20.969,19.9694,21.9687,1.00019
0.22,0.261607,1.00064,20.9664,19.9669,21.966,1.00021
0.23,0.268535,1.00071,20.9638,19.9643,21.9633,1.00023
0.24,0.275192,1.00078,20.9611,19.9616,21.9605,1.00024
0.25,0.281646,1.00089,20.9583,19.9589,21.9577,1.00028
0.26,0.28795,1.00099,20.9554,19.9561,21.9548,1.00032
0.27,0.294016,1.00109,20.9525,19.9533,21.9518,1.00035
0.28,0.299823,1.00119,20.9496,19.9504,21.9488,1.00038
0.29,0.305469,1.00128,20.9465,19.9474,21.9457,1.00039
0.3,0.310916,1.00137,20.9434,19.9444,21.9425,1.00043
0.31,0.31618,1.00148,20.9403,19.9413,21.9393,1.00047
0.32,0.321291,1.00158,20.9371,19.9382,21.9361,1.00051
0.33,0.326243,1.00169,20.9339,19.935,21.9327,1.00054
0.34,0.330998,1.00177,20.9306,19.9318,21.9294,1.00056
0.35,0.335615,1.00187,20.9273,19.9286,21.926,1.0006
