time,velocity,ratio,centerX,Xmax,Xmin,Ymax
0,0,1,1.25,0.25,2.25,1
0.01,0.0160021,1.00002,1.24993,0.249948,2.24993,1.00002
0.02,0.0308731,1.00013,1.2497,0.249846,2.24967,1.00004
0.03,0.0447662,1.0003,1.24933,0.249691,2.24924,1.00007
0.04,0.057712,1.00052,1.24883,0.249487,2.24866,1.00011
0.05,0.0699391,1.00082,1.2482,0.249239,2.24793,1.00016
0.06,0.0813931,1.00117,1.24745,0.248949,2.24706,1.00022
0.07,0.0922084,1.00158,1.24659,0.248621,2.24606,1.00029
0.08,0.102408,1.00204,1.24563,0.248258,2.24494,1.00038
0.09,0.112031,1.00255,1.24456,0.247862,2.24371,1.00047
0.1,0.121128,1.00311,1.2434,0.247434,2.24237,1.00057
0.11,0.129715,1.00373,1.24215,0.246981,2.24094,1.00069
0.12,0.13785,1.0044,1.24082,0.246504,2.23941,1.00084
0.13,0.145531,1.00511,1.23941,0.246007,2.2378,1.00099
0.14,0.152804,1.00587,1.23793,0.245491,2.23612,1.00115
0.15,0.159702,1.00665,1.23637,0.244956,2.23437,1.00132
0.16,0.166211,1.00747,1.23475,0.244406,2.23257,1.0015
0.17,0.172387,1.00833,1.23306,0.243841,2.23068,1.00169
0.18,0.17824,1.00924,1.23131,0.243262,2.2287,1.00189
0.19,0.1838,1.0102,1.22951,0.242671,2.22663,1.0021
0.2,0.188812,1.01124,1.22765,0.242068,2.22448,1.00235
0.21,0.193817,1.01232,1.22574,0.241453,2.22224,1.0026
0.22,0.198566,1.01345,1.22378,0.240828,2.21994,1.00286
0.23,0.202642,1.0146,1.22178,0.240195,2.21759,1.00313
0.24,0.20687,1.01579,1.21974,0.239555,2.21518,1.0034
0.25,0.210896,1.01702,1.21765,0.238909,2.21269,1.00369
0.26,0.214446,1.01834,1.21553,0.238258,2.21013,1.00401
0.27,0.21806,1.01971,1.21337,0.237603,2.20749,1.00435
0.28,0.221475,1.02111,1.21118,0.236945,2.20478,1.00469
0.29,0.224718,1.02255,1.20895,0.236283,2.20204,1.00504
0.3,0.227552,1.024,1.20669,0.235619,2.19926,1.00539
0.31,0.23044,1.02552,1.2044,0.234954,2.19642,1.00576
0.32,0.233149,1.02711,1.20209,0.234288,2.19351,1.00617
0.33,0.235475,1.02874,1.19975,0.233615,2.19053,1.00658
0.34,0.237804,1.0304,1.19739,0.232933,2.18752,1.007
0.35,0.240137,1.03206,1.195,0.232246,2.18449,1.00742
0.36,0.242159,1.03379,1.19259,0.231556,2.18138,1.00785
0.37,0.24419,1.03559,1.19016,0.230865,2.17822,1.00833
0.38,0.245952,1.03743,1.18771,0.230172,2.175,1.00881
0.39,0.247782,1.03928,1.18525,0.229481,2.17178,1.00929
0.4,0.249534,1.04112,1.18276,0.22879,2.16859,1.00978
0.41,0.250916,1.043,1.18026,0.2281,2.16535,1.01028
0.42,0.252461,1.04496,1.17775,0.227412,2.16207,1.01082
0.43,0.253895,1.04696,1.17522,0.226726,2.15874,1.01136
0.44,0.254967,1.04897,1.17268,0.226043,2.15538,1.01191
0.45,0.255878,1.051,1.17012,0.225362,2.15202,1.01246
0.46,0.256925,1.05307,1.16756,0.224688,2.14863,1.01302
0.47,0.257634,1.05522,1.16499,0.224016,2.14518,1.01363
0.48,0.25865,1.0574,1.16241,0.223345,2.14169,1.01423
0.49,0.259486,1.05959,1.15982,0.222676,2.13821,1.01484
0.5,0.260331,1.06179,1.15722,0.22201,2.13471,1.01544
0.51,0.260988,1.06405,1.15462,0.221348,2.13117,1.01607
0.52,0.261416,1.06636,1.15201,0.220689,2.12759,1.01672
0.53,0.261981,1.06869,1.14939,0.220034,2.12401,1.01738
0.54,0.262488,1.07102,1.14677,0.219384,2.12042,1.01803
0.55,0.262879,1.07341,1.14415,0.218737,2.11677,1.01868
0.56,0.263064,1.07586,1.14152,0.218092,2.11309,1.01938
0.57,0.263445,1.07832,1.13889,0.217443,2.10943,1.02009
0.58,0.263739,1.08075,1.13626,0.216793,2.10584,1.02079
0.59,0.263748,1.08319,1.13362,0.216145,2.10223,1.02149
0.6,0.26396,1.08567,1.13098,0.2155,2.09859,1.02221
0.61,0.264165,1.08823,1.12834,0.214858,2.09491,1.02297
0.62,0.264038,1.0908,1.1257,0.21422,2.09124,1.02372
0.63,0.264143,1.09338,1.12306,0.213585,2.08755,1.02448
0.64,0.264216,1.09599,1.12042,0.212954,2.08383,1.02523
0.65,0.264164,1.09867,1.11778,0.212327,2.08006,1.02601
0.66,0.263871,1.10138,1.11515,0.211705,2.07629,1.02681
0.67,0.263753,1.10411,1.11251,0.211087,2.07252,1.02761
0.68,0.263603,1.10686,1.10987,0.210474,2.06872,1.02841
0.69,0.26317,1.10964,1.10724,0.209866,2.06488,1.02921
0.7,0.262911,1.11249,1.10461,0.209262,2.06104,1.03004
0.71,0.262339,1.11536,1.10199,0.208664,2.05719,1.03089
0.72,0.262066,1.11826,1.09937,0.208072,2.05329,1.03172
0.73,0.261742,1.12118,1.09675,0.207484,2.04938,1.03255
0.74,0.261195,1.12409,1.09413,0.206902,2.04549,1.03337
0.75,0.260808,1.12705,1.09152,0.206326,2.04164,1.03425
0.76,0.260414,1.13004,1.08892,0.205754,2.03777,1.03512
0.77,0.259762,1.13305,1.08632,0.205189,2.03387,1.03599
0.78,0.259364,1.13607,1.08373,0.20463,2.02997,1.03686
0.79,0.258909,1.1391,1.08114,0.204075,2.02609,1.03772
0.8,0.258192,1.1422,1.07855,0.203525,2.02219,1.03864
0.81,0.257662,1.14532,1.07597,0.20298,2.01826,1.03955
0.82,0.256905,1.14846,1.0734,0.202435,2.01434,1.04045
0.83,0.256361,1.15159,1.07084,0.201887,2.01043,1.04135
0.84,0.255795,1.15474,1.06828,0.201338,2.0065,1.04225
0.85,0.254945,1.15796,1.06573,0.20079,2.00256,1.04319
0.86,0.254338,1.16119,1.06318,0.200242,1.99862,1.04413
0.87,0.253435,1.16443,1.06064,0.199697,1.99469,1.04507
0.88,0.25275,1.1677,1.05811,0.199154,1.99071,1.046
0.89,0.251815,1.17097,1.05559,0.198613,1.98674,1.04693
0.9,0.251057,1.17423,1.05308,0.198076,1.98284,1.04787
0.91,0.250117,1.17749,1.05058,0.197543,1.979,1.04882
0.92,0.249405,1.18076,1.04808,0.197013,1.97515,1.04978
0.93,0.248436,1.18405,1.04559,0.196487,1.97128,1.05073
0.94,0.247697,1.18736,1.04311,0.195965,1.96741,1.05167
0.95,0.24671,1.19068,1.04064,0.195448,1.96355,1.05262
0.96,0.245972,1.19406,1.03818,0.194935,1.95967,1.05361
0.97,0.244987,1.19748,1.03572,0.194426,1.95577,1.05459
0.98,0.244147,1.20091,1.03328,0.193922,1.95187,1.05557
0.99,0.243189,1.20434,1.03084,0.193422,1.94797,1.05654
1,0.242376,1.20779,1.02842,0.192927,1.94407,1.0575
1.01,0.241422,1.21129,1.026,0.192437,1.94015,1.05849
1.02,0.240591,1.21483,1.02359,0.191952,1.93622,1.0595
1.03,0.239536,1.21839,1.02119,0.191471,1.93229,1.0605
1.04,0.238753,1.22197,1.0188,0.190995,1.92834,1.06149
1.05,0.237708,1.22557,1.01642,0.190524,1.92439,1.06249
1.06,0.236834,1.22914,1.01405,0.190058,1.92047,1.06346
1.07,0.23584,1.23272,1.01169,0.189597,1.91658,1.06444
1.08,0.234983,1.23634,1.00933,0.189141,1.91269,1.06545
1.09,0.233953,1.23999,1.00699,0.18869,1.90879,1.06645
1.1,0.23302,1.24364,1.00466,0.188244,1.90489,1.06745
1.11,0.231953,1.24729,1.00233,0.187802,1.90102,1.06844
1.12,0.230789,1.25095,1.00002,0.187367,1.89714,1.06942
1.13,0.229918,1.25466,0.997718,0.186957,1.89325,1.07041
1.14,0.228703,1.25842,0.995425,0.186552,1.88937,1.07143
1.15,0.227831,1.26217,0.993144,0.186145,1.88551,1.07244
1.16,0.226746,1.26593,0.990872,0.185736,1.88165,1.07345
1.17,0.225868,1.2697,0.98861,0.185331,1.87778,1.07446
1.18,0.224758,1.27348,0.986359,0.184928,1.87393,1.07545
1.19,0.223618,1.27725,0.984117,0.184529,1.87009,1.07644
1.2,0.222798,1.28108,0.981886,0.184133,1.86623,1.07745
1.21,0.221658,1.28494,0.979664,0.183738,1.86237,1.07847
1.22,0.220742,1.28877,0.977453,0.183346,1.85856,1.07948
1.23,0.219649,1.29256,0.975253,0.182956,1.8548,1.08048
1.24,0.218751,1.29635,0.973062,0.182569,1.85106,1.08147
1.25,0.217657,1.30016,0.970882,0.182186,1.84731,1.08246
1.26,0.216779,1.30397,0.968711,0.181806,1.84356,1.08344
1.27,0.215915,1.30782,0.966549,0.18143,1.83983,1.08444
1.28,0.215037,1.31169,0.964395,0.181058,1.8361,1.08545
1.29,0.214148,1.31558,0.962251,0.18069,1.83237,1.08646
1.3,0.21323,1.31949,0.960115,0.180325,1.82863,1.08746
1.31,0.212323,1.32338,0.957989,0.179962,1.82491,1.08845
1.32,0.211398,1.32729,0.955871,0.179603,1.8212,1.08943
1.33,0.210471,1.3312,0.953763,0.179248,1.81748,1.09041
1.34,0.209544,1.33514,0.951664,0.178897,1.81376,1.09139
1.35,0.208593,1.33913,0.949574,0.178549,1.81006,1.0924
1.36,0.207648,1.34313,0.947494,0.178204,1.80634,1.0934
1.37,0.206703,1.34713,0.945423,0.177863,1.80263,1.09439
1.38,0.205738,1.35113,0.943362,0.177525,1.79893,1.09536
1.39,0.204733,1.35512,0.941311,0.177191,1.79526,1.09633
1.4,0.203779,1.35908,0.939269,0.17686,1.79161,1.09729
1.41,0.202811,1.36306,0.937237,0.176533,1.78798,1.09825
1.42,0.201831,1.36707,0.935215,0.176209,1.78434,1.09922
1.43,0.20082,1.37112,0.933203,0.175888,1.78071,1.1002
1.44,0.199869,1.37515,0.9312,0.17557,1.77711,1.10118
1.45,0.198917,1.37919,0.929207,0.175255,1.77352,1.10216
1.46,0.197899,1.38324,0.927225,0.174944,1.76993,1.10312
1.47,0.196944,1.3873,0.925252,0.174636,1.76634,1.10408
1.48,0.195929,1.39135,0.923288,0.174332,1.76277,1.10504
1.49,0.194974,1.3954,0.921335,0.174031,1.75922,1.10599
1.5,0.193966,1.39948,0.919391,0.173733,1.75567,1.10694
1.51,0.193004,1.4036,0.917457,0.173439,1.75213,1.10792
1.52,0.19201,1.40772,0.915534,0.173147,1.74861,1.1089
1.53,0.190988,1.41185,0.91362,0.172859,1.74507,1.10986
1.54,0.190044,1.41598,0.911715,0.172574,1.74154,1.11081
1.55,0.189031,1.4201,0.909821,0.172292,1.73804,1.11176
1.56,0.188093,1.4242,0.907936,0.172013,1.73457,1.11269
1.57,0.187003,1.42825,0.906062,0.171737,1.73116,1.11362
1.58,0.185808,1.4323,0.904198,0.171462,1.72777,1.11455
1.59,0.184936,1.43639,0.902345,0.171187,1.72439,1.1155
1.6,0.18402,1.4405,0.900502,0.170913,1.72102,1.11646
1.61,0.183089,1.44461,0.898667,0.170641,1.71765,1.11741
1.62,0.182223,1.44872,0.896842,0.17037,1.7143,1.11836
1.63,0.181308,1.45282,0.895026,0.170102,1.71096,1.1193
1.64,0.180377,1.45694,0.893218,0.169835,1.70762,1.12023
1.65,0.179445,1.46107,0.89142,0.169571,1.70429,1.12116
1.66,0.178512,1.46519,0.889631,0.169309,1.70096,1.12208
1.67,0.177653,1.46931,0.887851,0.169049,1.69766,1.123
1.68,0.176735,1.47347,0.886081,0.168792,1.69435,1.12393
1.69,0.175746,1.47765,0.884319,0.168536,1.69106,1.12488
1.7,0.174819,1.48183,0.882567,0.168283,1.68776,1.12581
1.71,0.1739,1.486,0.880825,0.168033,1.68449,1.12673
1.72,0.172984,1.49018,0.879091,0.167785,1.68121,1.12764
1.73,0.172122,1.49436,0.877367,0.167539,1.67794,1.12854
1.74,0.171268,1.49854,0.875651,0.167295,1.67469,1.12944
1.75,0.170389,1.5027,0.873944,0.167053,1.67145,1.13033
1.76,0.169521,1.50685,0.872245,0.166814,1.66825,1.13122
1.77,0.16864,1.511,0.870555,0.166576,1.66506,1.1321
1.78,0.167781,1.51519,0.868874,0.16634,1.66188,1.13301
1.79,0.166907,1.51939,0.867202,0.166107,1.65871,1.13392
1.8,0.166048,1.52359,0.865538,0.165876,1.65555,1.13482
1.81,0.165119,1.52778,0.863883,0.165647,1.65241,1.13572
1.82,0.164286,1.53196,0.862237,0.16542,1.64929,1.13661
1.83,0.163433,1.53614,0.860599,0.165196,1.64617,1.1375
1.84,0.162588,1.54033,0.85897,0.164974,1.64307,1.13837
1.85,0.161673,1.54451,0.85735,0.164754,1.63998,1.13925
1.86,0.160831,1.54868,0.855739,0.164536,1.63691,1.14012
1.87,0.15992,1.55283,0.854136,0.16432,1.63386,1.14097
1.88,0.15909,1.55704,0.852541,0.164106,1.63081,1.14186
1.89,0.158256,1.56124,0.850956,0.163895,1.62778,1.14273
1.9,0.157381,1.56543,0.849379,0.163685,1.62476,1.14361
1.91,0.156564,1.56962,0.84781,0.163478,1.62175,1.14447
1.92,0.155696,1.57383,0.84625,0.163273,1.61875,1.14533
1.93,0.154885,1.57802,0.844698,0.16307,1.61575,1.14618
1.94,0.154017,1.5822,0.843154,0.162869,1.61278,1.14703
1.95,0.153207,1.58637,0.841619,0.162669,1.60984,1.14787
1.96,0.152348,1.5905,0.840092,0.162472,1.60693,1.14871
1.97,0.151551,1.59462,0.838574,0.162276,1.60404,1.14954
1.98,0.150697,1.59877,0.837063,0.162082,1.60117,1.15038
1.99,0.149915,1.60293,0.835561,0.161891,1.59831,1.15124
2,0.149074,1.6071,0.834067,0.161701,1.59546,1.15209
2.01,0.148299,1.61125,0.832582,0.161513,1.59262,1.15294
2.02,0.14747,1.6154,0.831104,0.161327,1.5898,1.15378
2.03,0.146648,1.61954,0.829634,0.161143,1.58699,1.15461
2.04,0.145885,1.62368,0.828173,0.160961,1.5842,1.15544
2.05,0.145068,1.62782,0.826719,0.16078,1.58141,1.15627
2.06,0.144246,1.63194,0.825274,0.160602,1.57864,1.15707
2.07,0.143449,1.63605,0.823836,0.160425,1.57588,1.15788
2.08,0.142662,1.64014,0.822407,0.16025,1.57314,1.15867
2.09,0.141898,1.64424,0.820985,0.160076,1.57041,1.15946
2.1,0.141136,1.64838,0.819571,0.159904,1.5677,1.16029
2.11,0.140378,1.65251,0.818164,0.159734,1.56499,1.1611
2.12,0.139625,1.65664,0.816766,0.159566,1.5623,1.16191
2.13,0.138874,1.66075,0.815374,0.159399,1.55962,1.16271
2.14,0.138123,1.66487,0.81399,0.159233,1.55695,1.16351
2.15,0.137372,1.66898,0.812614,0.159069,1.55429,1.1643
2.16,0.136613,1.67308,0.811245,0.158906,1.55165,1.16508
2.17,0.13587,1.67717,0.809884,0.158745,1.54902,1.16586
2.18,0.135125,1.68125,0.80853,0.158585,1.54641,1.16664
2.19,0.134377,1.6853,0.807184,0.158427,1.54382,1.1674
2.2,0.133643,1.68935,0.805844,0.15827,1.54125,1.16817
2.21,0.132905,1.69341,0.804513,0.158115,1.53869,1.16894
2.22,0.132175,1.69749,0.803188,0.157961,1.53614,1.16973
2.23,0.131445,1.70157,0.801871,0.157809,1.53361,1.17051
2.24,0.130714,1.70563,0.800562,0.157658,1.53109,1.17129
2.25,0.130001,1.70969,0.799259,0.157508,1.52859,1.17206
2.26,0.129289,1.71371,0.797964,0.15736,1.5261,1.17282
2.27,0.128593,1.71773,0.796676,0.157214,1.52363,1.17357
2.28,0.127891,1.72174,0.795394,0.157068,1.52117,1.17431
2.29,0.127204,1.72573,0.79412,0.156924,1.51872,1.17505
2.3,0.126511,1.72972,0.792852,0.156782,1.51628,1.17578
2.31,0.125821,1.7337,0.791592,0.156641,1.51387,1.17651
2.32,0.125133,1.73766,0.790338,0.156501,1.51146,1.17723
2.33,0.124452,1.7416,0.789091,0.156362,1.50907,1.17795
2.34,0.123762,1.74559,0.787851,0.156225,1.5067,1.17869
2.35,0.123084,1.74957,0.786618,0.156088,1.50434,1.17943
2.36,0.122406,1.75354,0.785392,0.155952,1.50199,1.18016
2.37,0.121744,1.7575,0.784172,0.155817,1.49965,1.1809
2.38,0.121082,1.76144,0.782959,0.155682,1.49733,1.18162
2.39,0.120411,1.76539,0.781753,0.155548,1.49502,1.18234
2.4,0.119735,1.76932,0.780553,0.155415,1.49271,1.18305
2.41,0.119068,1.77323,0.77936,0.155283,1.49043,1.18376
2.42,0.118399,1.77712,0.778174,0.155151,1.48817,1.18447
2.43,0.117751,1.78099,0.776994,0.155021,1.48593,1.18517
2.44,0.117102,1.78483,0.775821,0.154891,1.48371,1.18586
2.45,0.116451,1.78864,0.774655,0.154763,1.48152,1.18655
2.46,0.115802,1.79245,0.773495,0.154635,1.47934,1.18723
2.47,0.115162,1.79624,0.772341,0.154509,1.47717,1.18791
2.48,0.114529,1.80006,0.771193,0.154383,1.47502,1.18861
2.49,0.11389,1.80386,0.770052,0.154259,1.47288,1.1893
2.5,0.113264,1.80765,0.768918,0.154135,1.47075,1.18999
2.51,0.112648,1.81144,0.767789,0.154012,1.46863,1.19067
2.52,0.112027,1.8152,0.766667,0.153891,1.46652,1.19135
2.53,0.111414,1.81896,0.765551,0.15377,1.46443,1.19202
2.54,0.1108,1.8227,0.764441,0.153651,1.46235,1.19268
2.55,0.110196,1.82643,0.763337,0.153532,1.46028,1.19334
2.56,0.109585,1.83016,0.762239,0.153414,1.45822,1.194
2.57,0.108987,1.83387,0.761147,0.153298,1.45617,1.19465
2.58,0.108381,1.83757,0.760061,0.153182,1.45413,1.19529
2.59,0.107785,1.84126,0.758982,0.153067,1.45211,1.19593
2.6,0.107184,1.84493,0.757908,0.152953,1.4501,1.19657
2.61,0.106595,1.84861,0.75684,0.15284,1.4481,1.19721
2.62,0.106004,1.85231,0.755778,0.152728,1.44611,1.19787
2.63,0.105421,1.856,0.754722,0.152617,1.44413,1.19852
2.64,0.104834,1.85968,0.753672,0.152507,1.44216,1.19917
2.65,0.104259,1.86335,0.752627,0.152398,1.44021,1.19982
2.66,0.103721,1.86701,0.751589,0.15229,1.43826,1.20046
2.67,0.10314,1.87065,0.750556,0.152183,1.43633,1.20109
2.68,0.102584,1.87428,0.749529,0.152076,1.43441,1.20173
2.69,0.10203,1.8779,0.748507,0.151971,1.4325,1.20235
2.7,0.101474,1.88151,0.747491,0.151866,1.4306,1.20297
2.71,0.100922,1.8851,0.74648,0.151762,1.42871,1.20358
2.72,0.100416,1.88867,0.745475,0.151659,1.42683,1.20419
2.73,0.0998192,1.89222,0.744476,0.151557,1.42497,1.20478
2.74,0.0992889,1.89576,0.743482,0.151456,1.42311,1.20537
2.75,0.098743,1.89927,0.742493,0.151356,1.42127,1.20596
2.76,0.0982236,1.90277,0.74151,0.151256,1.41945,1.20654
2.77,0.0976792,1.90631,0.740531,0.151158,1.41763,1.20715
2.78,0.0971692,1.90984,0.739559,0.15106,1.41583,1.20776
2.79,0.0966367,1.91335,0.738591,0.150963,1.41404,1.20835
2.8,0.0961521,1.91685,0.737628,0.150867,1.41226,1.20895
2.81,0.095629,1.92033,0.736671,0.150771,1.41049,1.20954
2.82,0.0950858,1.9238,0.735719,0.150677,1.40874,1.21013
2.83,0.094563,1.92725,0.734772,0.150583,1.40699,1.21071
2.84,0.0940688,1.93069,0.733831,0.15049,1.40526,1.21128
2.85,0.0935414,1.93411,0.732894,0.150397,1.40353,1.21185
2.86,0.0930885,1.93752,0.731962,0.150306,1.40182,1.21242
2.87,0.0925673,1.94092,0.731036,0.150215,1.40012,1.21299
2.88,0.0920799,1.9443,0.730114,0.150125,1.39843,1.21354
2.89,0.0915637,1.94767,0.729198,0.150036,1.39676,1.2141
2.9,0.09108,1.95102,0.728286,0.149947,1.39509,1.21465
2.91,0.0905673,1.95436,0.727379,0.149859,1.39343,1.21519
2.92,0.0900849,1.95768,0.726478,0.149772,1.39179,1.21574
2.93,0.0895804,1.96104,0.725581,0.149686,1.39015,1.2163
2.94,0.0891194,1.96438,0.72469,0.1496,1.38853,1.21687
2.95,0.0886263,1.96771,0.723803,0.149515,1.38692,1.21743
2.96,0.0881533,1.97102,0.722921,0.149431,1.38532,1.21798
2.97,0.0875919,1.97432,0.722043,0.149347,1.38373,1.21853
2.98,0.0872415,1.97761,0.721171,0.149264,1.38215,1.21908
2.99,0.0867185,1.98087,0.720303,0.149182,1.38058,1.21962
3,0.0862031,1.98411,0.71944,0.1491,1.37902,1.22015
3.01,0.0857372,1.98734,0.718583,0.149019,1.37747,1.22067
3.02,0.085253,1.99055,0.717729,0.148939,1.37593,1.2212
3.03,0.0847924,1.99375,0.716881,0.148859,1.37441,1.22171
3.04,0.0843288,1.99693,0.716037,0.14878,1.37289,1.22223
3.05,0.0838872,2.00011,0.715198,0.148702,1.37137,1.22274
3.06,0.0834619,2.00327,0.714363,0.148624,1.36987,1.22324
3.07,0.082957,2.00641,0.713533,0.148547,1.36838,1.22374
3.08,0.0825372,2.00954,0.712707,0.148471,1.3669,1.22424
