time,velocity,ratio,centerX,Xmax,Xmin,Ymax
0,0,1,1.5,0.5,2.5,1
0.01,0.0177276,1.00001,1.49992,0.499918,2.49993,1.00001
0.02,0.0353085,1.00006,1.49967,0.499719,2.49966,1.00003
0.03,0.0527279,1.00015,1.49925,0.499386,2.49919,1.00005
0.04,0.0699905,1.00026,1.49865,0.498918,2.49853,1.00007
0.05,0.0869111,1.00041,1.49788,0.498318,2.49769,1.0001
0.06,0.103668,1.0006,1.49695,0.497593,2.49666,1.00014
0.07,0.120426,1.00083,1.49584,0.49674,2.49545,1.00018
0.08,0.136843,1.00109,1.49458,0.495769,2.49405,1.00023
0.09,0.153227,1.00139,1.49314,0.494677,2.49248,1.00029
0.1,0.169565,1.00174,1.49155,0.49347,2.49073,1.00037
0.11,0.185396,1.00214,1.48979,0.492151,2.4888,1.00046
0.12,0.201434,1.00259,1.48787,0.490724,2.4867,1.00057
0.13,0.216775,1.00307,1.4858,0.489188,2.48444,1.00069
0.14,0.232445,1.00358,1.48357,0.487547,2.48204,1.00081
0.15,0.247973,1.00412,1.48118,0.4858,2.47948,1.00094
0.16,0.263261,1.00471,1.47864,0.48395,2.47673,1.00108
0.17,0.278241,1.00538,1.47595,0.481995,2.4738,1.00126
0.18,0.293173,1.00613,1.47311,0.479938,2.47066,1.00146
0.19,0.307891,1.00695,1.47012,0.477794,2.46732,1.00167
0.2,0.322436,1.00781,1.46698,0.475566,2.46382,1.00189
0.21,0.336703,1.00873,1.4637,0.473257,2.46014,1.00212
0.22,0.350822,1.00978,1.46028,0.47087,2.45626,1.0024
0.23,0.364898,1.01091,1.45671,0.468408,2.45216,1.0027
0.24,0.378806,1.01211,1.45301,0.465866,2.44787,1.003
0.25,0.39234,1.01336,1.44917,0.463244,2.4434,1.00331
0.26,0.4059,1.01476,1.44519,0.460551,2.43875,1.00369
0.27,0.419294,1.01624,1.44108,0.457794,2.43389,1.00409
0.28,0.432451,1.01781,1.43683,0.454981,2.42882,1.00449
0.29,0.445283,1.0195,1.43246,0.452113,2.42354,1.00494
0.3,0.457924,1.02131,1.42796,0.449178,2.41807,1.00543
0.31,0.470384,1.02319,1.42333,0.446171,2.41242,1.00593
0.32,0.482102,1.02517,1.41858,0.443104,2.40658,1.00644
0.33,0.493954,1.02728,1.41371,0.439983,2.40056,1.00703
0.34,0.505612,1.02949,1.40873,0.436823,2.39435,1.00763
0.35,0.517186,1.03182,1.40362,0.43363,2.38793,1.00824
0.36,0.528477,1.03433,1.39841,0.430405,2.38131,1.00894
0.37,0.539549,1.03695,1.39308,0.427144,2.37447,1.00964
0.38,0.550038,1.03971,1.38764,0.423853,2.36742,1.01037
0.39,0.560602,1.04267,1.3821,0.420538,2.36012,1.01117
0.4,0.570788,1.04574,1.37646,0.417191,2.35261,1.01197
0.41,0.580707,1.04896,1.37071,0.413814,2.34491,1.01282
0.42,0.590411,1.05237,1.36486,0.410417,2.33698,1.01372
0.43,0.599967,1.0559,1.35892,0.406999,2.32884,1.01463
0.44,0.609074,1.05964,1.35289,0.403568,2.32046,1.01561
0.45,0.617809,1.06354,1.34676,0.400122,2.31187,1.01661
0.46,0.626466,1.06761,1.34055,0.396675,2.30303,1.01763
0.47,0.634851,1.07194,1.33425,0.393227,2.29396,1.01873
0.48,0.642931,1.07642,1.32787,0.389786,2.28466,1.01984
0.49,0.65055,1.08113,1.32142,0.386329,2.27512,1.02102
0.5,0.657882,1.08604,1.31488,0.382845,2.26534,1.02223
0.51,0.665032,1.09113,1.30828,0.379338,2.25532,1.02347
0.52,0.671835,1.09649,1.3016,0.375818,2.24503,1.02479
0.53,0.67832,1.10202,1.29486,0.372295,2.23451,1.0261
0.54,0.684498,1.10785,1.28805,0.368808,2.22374,1.02749
0.55,0.690198,1.11389,1.28119,0.365344,2.21274,1.0289
0.56,0.695596,1.1202,1.27427,0.361904,2.20148,1.03035
0.57,0.700841,1.12678,1.26729,0.358484,2.18998,1.03184
0.58,0.705531,1.13357,1.26027,0.355072,2.17821,1.03333
0.59,0.710025,1.14073,1.2532,0.351673,2.16618,1.03493
0.6,0.714065,1.14811,1.24608,0.348297,2.15391,1.03652
0.61,0.718279,1.1558,1.23893,0.344937,2.14141,1.03818
0.62,0.721846,1.16379,1.23173,0.341602,2.12865,1.03987
0.63,0.725153,1.17206,1.2245,0.338279,2.11566,1.0416
0.64,0.727993,1.18068,1.21724,0.334983,2.1024,1.04338
0.65,0.730627,1.18955,1.20996,0.331715,2.08893,1.04515
0.66,0.732883,1.19884,1.20265,0.328482,2.07521,1.04702
0.67,0.734912,1.20837,1.19531,0.325271,2.06125,1.04885
0.68,0.736645,1.21831,1.18796,0.322065,2.04702,1.05076
0.69,0.738034,1.22854,1.18059,0.318869,2.03261,1.0527
0.7,0.739169,1.23913,1.17321,0.315695,2.01799,1.05468
0.71,0.739977,1.25009,1.16582,0.312543,2.00316,1.05671
0.72,0.740536,1.26139,1.15842,0.309424,1.9881,1.05873
0.73,0.740701,1.27313,1.15102,0.306349,1.97288,1.06085
0.74,0.740706,1.28521,1.14361,0.303314,1.95744,1.06295
0.75,0.740416,1.29769,1.13621,0.300317,1.94183,1.06509
0.76,0.739829,1.31058,1.12882,0.29736,1.92604,1.06726
0.77,0.739007,1.32384,1.12142,0.294439,1.91011,1.06944
0.78,0.737945,1.33754,1.11404,0.291544,1.89403,1.07169
0.79,0.736662,1.35132,1.10667,0.288674,1.87812,1.07392
0.8,0.735176,1.3652,1.09932,0.285841,1.86252,1.07624
0.81,0.733439,1.37901,1.09198,0.283049,1.84727,1.07854
0.82,0.731274,1.39282,1.08466,0.280305,1.83235,1.08086
0.83,0.729132,1.40662,1.07736,0.277587,1.81778,1.08323
0.84,0.726835,1.42036,1.07008,0.274902,1.80353,1.0856
0.85,0.724367,1.4342,1.06283,0.272252,1.78955,1.08806
0.86,0.721716,1.44797,1.0556,0.269647,1.77588,1.09049
0.87,0.718926,1.46181,1.0484,0.267086,1.76246,1.09298
0.88,0.715969,1.47566,1.04123,0.26457,1.74928,1.09547
0.89,0.712804,1.48947,1.03409,0.262072,1.73637,1.09796
0.9,0.709504,1.50337,1.02698,0.259592,1.72368,1.10053
0.91,0.706118,1.51721,1.0199,0.257131,1.71122,1.10308
0.92,0.702538,1.53116,1.01286,0.254701,1.69897,1.1057
0.93,0.698874,1.54509,1.00586,0.252301,1.68694,1.10832
0.94,0.695037,1.55902,0.998889,0.24994,1.67511,1.11093
0.95,0.691155,1.57309,0.991962,0.247626,1.66346,1.11361
0.96,0.687193,1.58718,0.985073,0.245362,1.65197,1.11628
0.97,0.683123,1.60142,0.978222,0.243135,1.64067,1.11902
0.98,0.678881,1.61568,0.971415,0.240943,1.62955,1.12177
0.99,0.674635,1.63,0.964651,0.238786,1.61858,1.12453
1,0.670313,1.64448,0.957927,0.236673,1.60773,1.12734
1.01,0.665965,1.65887,0.951248,0.234602,1.59712,1.13012
1.02,0.661453,1.67346,0.944615,0.232565,1.5866,1.13296
1.03,0.65693,1.68812,0.938024,0.230552,1.57623,1.13583
1.04,0.652369,1.70276,0.931479,0.228574,1.56603,1.13868
1.05,0.64766,1.71767,0.924983,0.226634,1.55589,1.14161
1.06,0.642956,1.73246,0.91853,0.224729,1.54597,1.1445
1.07,0.638206,1.74748,0.912127,0.222859,1.53611,1.14744
1.08,0.633342,1.76254,0.905772,0.221028,1.52645,1.15043
1.09,0.628461,1.77773,0.899464,0.219237,1.51683,1.15339
1.1,0.623551,1.79301,0.893207,0.217483,1.50741,1.15643
1.11,0.618457,1.80845,0.887,0.215756,1.498,1.15944
1.12,0.613505,1.82379,0.880841,0.21406,1.48882,1.16245
1.13,0.608481,1.83955,0.874735,0.212394,1.47962,1.16556
1.14,0.603494,1.85515,0.868675,0.210764,1.47066,1.16865
1.15,0.598465,1.87101,0.862669,0.209168,1.4617,1.17175
1.16,0.593431,1.8869,0.85671,0.207608,1.45291,1.17488
1.17,0.588349,1.90292,0.850805,0.206081,1.44419,1.17801
1.18,0.583223,1.91915,0.844949,0.204589,1.43554,1.18119
1.19,0.578091,1.93546,0.839144,0.203129,1.42704,1.18442
1.2,0.572984,1.95199,0.833392,0.201698,1.41853,1.18762
1.21,0.567852,1.96839,0.827689,0.200285,1.41026,1.19085
1.22,0.562731,1.98511,0.822039,0.198892,1.40196,1.19411
1.23,0.557512,2.00176,0.816439,0.19752,1.39383,1.19736
1.24,0.552353,2.01864,0.810893,0.196172,1.38576,1.20067
1.25,0.547261,2.03576,0.805395,0.194847,1.37769,1.20399
1.26,0.542063,2.05266,0.799952,0.193549,1.36985,1.20728
1.27,0.536945,2.06997,0.794557,0.192277,1.36198,1.21063
1.28,0.531814,2.08739,0.789217,0.191033,1.35422,1.21401
1.29,0.526656,2.10479,0.783925,0.189818,1.34659,1.21738
1.3,0.521559,2.12245,0.778687,0.188631,1.33896,1.22076
1.31,0.516449,2.14015,0.773498,0.187472,1.33148,1.22418
1.32,0.511308,2.15798,0.768363,0.186351,1.32407,1.22758
1.33,0.506202,2.17612,0.763277,0.185267,1.31664,1.23101
1.34,0.501144,2.19426,0.758243,0.184208,1.30942,1.2345
1.35,0.496074,2.2125,0.753258,0.183169,1.3022,1.23793
1.36,0.491059,2.23097,0.748324,0.182153,1.295,1.24137
1.37,0.486041,2.24947,0.743441,0.181161,1.28801,1.24491
1.38,0.481044,2.26827,0.738606,0.180196,1.28099,1.24845
1.39,0.476073,2.28707,0.733824,0.179252,1.27406,1.25195
1.4,0.47106,2.30594,0.729088,0.178332,1.26724,1.25548
1.41,0.466128,2.32508,0.724406,0.177437,1.26046,1.25906
1.42,0.461217,2.34445,0.719769,0.176565,1.25368,1.26262
1.43,0.456307,2.36358,0.715185,0.175715,1.24711,1.26616
1.44,0.451393,2.38315,0.710648,0.174888,1.2405,1.26976
1.45,0.446565,2.40291,0.706159,0.174084,1.23394,1.27337
1.46,0.441788,2.42251,0.701721,0.173304,1.22755,1.27696
1.47,0.43692,2.44242,0.697327,0.172544,1.22114,1.28055
1.48,0.432156,2.4625,0.692986,0.171804,1.2148,1.2842
1.49,0.42747,2.48254,0.68869,0.171082,1.20859,1.28783
1.5,0.422795,2.5028,0.68444,0.170378,1.20238,1.29145
1.51,0.418151,2.52326,0.680239,0.16969,1.1962,1.29508
1.52,0.413391,2.54369,0.67608,0.169018,1.19018,1.29876
1.53,0.408737,2.56425,0.671974,0.168362,1.18419,1.30242
1.54,0.404211,2.58517,0.66791,0.167723,1.17816,1.30607
1.55,0.399725,2.60584,0.66389,0.167101,1.17232,1.30972
1.56,0.395258,2.62685,0.65992,0.166495,1.16652,1.31346
1.57,0.390811,2.64814,0.655989,0.165905,1.16068,1.31715
1.58,0.386378,2.66914,0.652105,0.165331,1.15504,1.32084
1.59,0.381981,2.69035,0.648267,0.164772,1.14941,1.32451
1.6,0.37765,2.71206,0.644468,0.164228,1.14375,1.32826
1.61,0.373381,2.73349,0.640716,0.163699,1.13825,1.33196
1.62,0.369157,2.75511,0.637004,0.163186,1.13278,1.33568
1.63,0.364913,2.77703,0.633334,0.162686,1.1273,1.33938
1.64,0.360677,2.79884,0.629709,0.162201,1.12194,1.34307
1.65,0.35653,2.8208,0.626125,0.161728,1.11665,1.34682
1.66,0.352499,2.84308,0.622579,0.161269,1.11133,1.35056
1.67,0.348403,2.86535,0.619079,0.160822,1.10611,1.35428
1.68,0.344398,2.88734,0.615616,0.160348,1.101,1.358
1.69,0.340344,2.90951,0.612192,0.159864,1.09589,1.36169
1.7,0.33648,2.93199,0.608812,0.159374,1.09079,1.36546
1.71,0.33256,2.9542,0.605469,0.15888,1.08584,1.36922
1.72,0.328777,2.97658,0.602162,0.158383,1.0809,1.37297
1.73,0.325026,2.99908,0.598898,0.157883,1.07596,1.37669
1.74,0.321272,3.02147,0.595669,0.157381,1.07111,1.3804
1.75,0.317625,3.04402,0.592475,0.156877,1.06633,1.38419
1.76,0.314022,3.06675,0.58932,0.156369,1.06154,1.38797
1.77,0.310325,3.08948,0.586202,0.155857,1.05679,1.39171
1.78,0.30673,3.11195,0.583117,0.155342,1.05216,1.39542
1.79,0.303239,3.13464,0.580067,0.154827,1.04752,1.39913
1.8,0.29974,3.15761,0.577056,0.154309,1.04289,1.4029
1.81,0.296347,3.18023,0.574076,0.153789,1.03843,1.40667
1.82,0.292938,3.20296,0.571128,0.153268,1.03396,1.41041
1.83,0.289683,3.2259,0.568218,0.152744,1.02949,1.41414
1.84,0.286404,3.24874,0.565339,0.152222,1.02509,1.41786
1.85,0.283156,3.27148,0.562491,0.151699,1.02077,1.42157
1.86,0.280007,3.29458,0.559674,0.15118,1.01643,1.42531
1.87,0.276835,3.31786,0.556893,0.150661,1.0121,1.42907
1.88,0.273809,3.34077,0.55414,0.150141,1.00792,1.43281
1.89,0.270746,3.36393,0.551417,0.149622,1.00372,1.43655
1.9,0.267768,3.38728,0.548725,0.149108,0.999498,1.44025
1.91,0.264813,3.41033,0.546065,0.148593,0.995398,1.44394
1.92,0.261928,3.4336,0.543432,0.148072,0.991324,1.44769
1.93,0.259053,3.45716,0.540826,0.147552,0.987228,1.45145
1.94,0.256229,3.48063,0.538252,0.147036,0.983185,1.45516
1.95,0.253374,3.50374,0.535707,0.146517,0.979265,1.45887
1.96,0.250592,3.52709,0.533187,0.146,0.975331,1.46256
1.97,0.247949,3.55074,0.530694,0.14549,0.971374,1.46625
1.98,0.245295,3.57401,0.528231,0.144974,0.96754,1.46993
1.99,0.242772,3.59745,0.525794,0.144462,0.963734,1.47364
2,0.240251,3.62117,0.52338,0.143954,0.959908,1.47735
2.01,0.237781,3.64509,0.52099,0.143444,0.95607,1.48105
2.02,0.235343,3.66845,0.518627,0.142944,0.952397,1.48472
2.03,0.232922,3.69204,0.51629,0.142438,0.948689,1.48836
2.04,0.230478,3.71591,0.513975,0.14194,0.944967,1.49199
2.05,0.22822,3.73975,0.511682,0.141442,0.941306,1.49565
2.06,0.225941,3.76347,0.509413,0.140944,0.937734,1.49935
2.07,0.223716,3.78752,0.507171,0.140452,0.934118,1.50301
2.08,0.221534,3.81175,0.504947,0.139954,0.930491,1.50667
2.09,0.219375,3.83559,0.502742,0.139461,0.926982,1.5103
2.1,0.217301,3.8595,0.500558,0.138963,0.923484,1.51393
2.11,0.215214,3.88358,0.498399,0.138465,0.91997,1.51752
2.12,0.213168,3.90765,0.496259,0.137964,0.916483,1.52109
2.13,0.211201,3.93145,0.494137,0.137462,0.913122,1.52474
2.14,0.209279,3.95558,0.492033,0.136961,0.909728,1.52837
2.15,0.207373,3.97996,0.489951,0.136457,0.906305,1.53198
2.16,0.205545,4.00411,0.487889,0.13596,0.902949,1.53556
2.17,0.203676,4.02803,0.485844,0.135455,0.899663,1.53913
2.18,0.201915,4.05232,0.483815,0.134961,0.896344,1.54269
2.19,0.200161,4.07694,0.481804,0.134455,0.89298,1.54623
2.2,0.198402,4.101,0.479812,0.13396,0.889743,1.54973
2.21,0.196728,4.12533,0.47784,0.133462,0.886522,1.55331
2.22,0.195064,4.14994,0.475881,0.132969,0.883285,1.55688
2.23,0.193473,4.17497,0.473937,0.13248,0.880002,1.56044
2.24,0.191902,4.19932,0.472009,0.131986,0.876854,1.56397
2.25,0.190207,4.22393,0.470102,0.131503,0.873691,1.56747
2.26,0.1887,4.24864,0.46821,0.131007,0.870523,1.57097
2.27,0.18721,4.27378,0.466331,0.130524,0.86732,1.57445
2.28,0.185813,4.29824,0.464465,0.13004,0.864254,1.57792
2.29,0.184398,4.32319,0.462614,0.129559,0.861151,1.58141
2.3,0.183042,4.3484,0.46078,0.129088,0.858044,1.5849
2.31,0.181637,4.37347,0.45896,0.128604,0.854974,1.58838
2.32,0.180329,4.39805,0.457151,0.128133,0.852018,1.59184
2.33,0.179027,4.4229,0.455355,0.127654,0.849022,1.59527
2.34,0.177782,4.4482,0.453571,0.127181,0.845976,1.59867
2.35,0.176534,4.47352,0.451803,0.126718,0.842963,1.60207
2.36,0.175352,4.49828,0.450048,0.126247,0.840049,1.60544
2.37,0.174152,4.52343,0.448303,0.12579,0.837121,1.60883
2.38,0.173019,4.54912,0.446568,0.125334,0.834141,1.61222
2.39,0.171883,4.57499,0.444844,0.124874,0.831154,1.61561
2.4,0.170742,4.60045,0.443132,0.12443,0.828273,1.619
2.41,0.169645,4.62619,0.441435,0.123983,0.825366,1.62237
2.42,0.168581,4.65205,0.439745,0.123539,0.822461,1.62571
2.43,0.167562,4.67836,0.438065,0.123106,0.819512,1.62902
2.44,0.166585,4.70398,0.436393,0.122665,0.816679,1.63231
2.45,0.165575,4.73008,0.434732,0.122233,0.813804,1.63559
2.46,0.164629,4.75649,0.433083,0.121809,0.810927,1.63889
2.47,0.163656,4.783,0.431444,0.121364,0.808043,1.64219
