time,velocity,ratio,centerX,Xmax,Xmin,Ymax
0,0,1,41,40,42,1
0.01,0.019847,1,40.9999,39.9999,41.9999,1
0.02,0.0396751,0.999983,40.9996,39.9996,41.9996,1
0.03,0.059407,0.999996,40.9991,39.9991,41.9991,0.999997
0.04,0.0791066,1.00001,40.9984,39.9984,41.9984,1
0.05,0.0987065,1.00003,40.9975,39.9976,41.9975,1.00001
0.06,0.118252,1.00006,40.9965,39.9965,41.9964,1.00001
0.07,0.137738,1.00009,40.9952,39.9952,41.9951,1.00002
0.08,0.157177,1.0001,40.9937,39.9938,41.9936,1.00002
0.09,0.176581,1.00013,40.992,39.9921,41.9919,1.00002
0.1,0.195982,1.00018,40.9902,39.9903,41.99,1.00004
0.11,0.215539,1.00024,40.9881,39.9883,41.9879,1.00007
0.12,0.234935,1.00032,40.9859,39.9861,41.9856,1.00008
0.13,0.254192,1.00035,40.9834,39.9837,41.9832,1.00011
0.14,0.273374,1.0004,40.9808,39.9811,41.9806,1.00015
0.15,0.29245,1.00047,40.978,39.9783,41.9777,1.00018
0.16,0.311503,1.00066,40.9749,39.9754,41.9745,1.00022
0.17,0.33055,1.00082,40.9717,39.9723,41.9711,1.00026
0.18,0.349516,1.00098,40.9683,39.969,41.9676,1.00029
0.19,0.368403,1.00106,40.9647,39.9655,41.964,1.00033
0.2,0.387222,1.00113,40.961,39.9617,41.9602,1.00037
0.21,0.405997,1.00136,40.957,39.9579,41.9561,1.00046
0.22,0.424695,1.00163,40.9528,39.9539,41.9517,1.00051
0.23,0.443292,1.00188,40.9485,39.9498,41.9472,1.00056
0.24,0.461846,1.00201,40.944,39.9454,41.9426,1.00064
0.25,0.480577,1.00224,40.9393,39.9407,41.9378,1.00076
0.26,0.499025,1.00244,40.9344,39.9359,41.9327,1.00083
0.27,0.517373,1.00267,40.9293,39.931,41.9274,1.00085
0.28,0.535749,1.00293,40.924,39.926,41.922,1.00096
0.29,0.553997,1.0032,40.9186,39.9207,41.9164,1.00106
0.3,0.572228,1.00342,40.913,39.9151,41.9106,1.00114
0.31,0.590445,1.00368,40.9071,39.9095,41.9046,1.00125
0.32,0.608521,1.00402,40.9012,39.9038,41.8984,1.00131
