time,velocity,ratio,centerX,Xmax,Xmin,Ymax
0,0,0.99998,1.1,0.1,2.1,0.99998
0.01,0.0152847,1.00003,1.09993,0.0999888,2.09991,0.999989
0.02,0.0301648,1.00017,1.0997,0.0999609,2.09965,1.00002
0.03,0.0445842,1.00041,1.09933,0.0999099,2.09921,1.00006
0.04,0.0584789,1.00073,1.09882,0.0998289,2.09861,1.00012
0.05,0.0719039,1.00115,1.09817,0.0997271,2.09783,1.0002
0.06,0.0846939,1.00165,1.09739,0.099587,2.0969,1.0003
0.07,0.0973101,1.00223,1.09648,0.0993985,2.09581,1.00043
0.08,0.109201,1.00288,1.09545,0.0991549,2.09457,1.00058
0.09,0.12069,1.0036,1.0943,0.0988524,2.09318,1.00075
0.1,0.132085,1.00438,1.09304,0.0984871,2.09164,1.00095
0.11,0.142667,1.00524,1.09167,0.0980576,2.08996,1.00116
0.12,0.153111,1.00615,1.09019,0.0975679,2.08813,1.0014
0.13,0.162984,1.00712,1.08862,0.0970176,2.08617,1.00166
0.14,0.172638,1.00818,1.08694,0.096405,2.08407,1.00196
0.15,0.181842,1.00929,1.08517,0.095732,2.08184,1.00228
0.16,0.190523,1.01044,1.08331,0.0949908,2.07948,1.00261
0.17,0.198582,1.01163,1.08137,0.0941738,2.077,1.00294
0.18,0.206426,1.01285,1.07934,0.0932882,2.07439,1.00328
0.19,0.213933,1.01409,1.07724,0.0923387,2.0717,1.00362
0.2,0.22124,1.01534,1.07507,0.0913149,2.06891,1.00397
0.21,0.227938,1.01666,1.07283,0.0902272,2.06601,1.00435
0.22,0.234543,1.018,1.07051,0.0890868,2.06302,1.00473
0.23,0.240542,1.01938,1.06814,0.0879001,2.05991,1.00511
0.24,0.246472,1.02076,1.06571,0.0866591,2.05673,1.00548
0.25,0.251967,1.02214,1.06322,0.0853646,2.05348,1.00585
0.26,0.256961,1.02351,1.06067,0.084027,2.05021,1.0062
0.27,0.261772,1.0249,1.05808,0.082661,2.0469,1.00658
0.28,0.266043,1.02631,1.05544,0.0812661,2.04355,1.00695
0.29,0.270346,1.0277,1.05276,0.0798331,2.04015,1.00732
