time,velocity,ratio,centerX,Xmax,Xmin,Ymax
0,0,1,16,15,17,1
0.01,0.0196455,0.999988,15.9999,14.9999,16.9999,1.00001
0.02,0.0388455,0.999998,15.9996,14.9996,16.9996,1.00001
0.03,0.0576948,1.00001,15.9992,14.9992,16.9992,1.00002
0.04,0.0761414,1.00003,15.9985,14.9985,16.9985,1.00002
0.05,0.094248,1.00005,15.9977,14.9977,16.9976,1.00002
0.06,0.111997,1.00007,15.9967,14.9967,16.9966,1.00003
0.07,0.129407,1.0001,15.9955,14.9955,16.9953,1.00003
0.08,0.146461,1.00012,15.9942,14.9941,16.9939,1.00002
0.09,0.163212,1.00015,15.9926,14.9926,16.9924,1.00002
0.1,0.17967,1.00019,15.991,14.991,16.9906,1.00002
0.11,0.195855,1.00025,15.9891,14.9891,16.9887,1.00004
0.12,0.211717,1.00031,15.9871,14.9872,16.9867,1.00007
0.13,0.227289,1.00037,15.9849,14.985,16.9845,1.00009
0.14,0.242542,1.00041,15.9826,14.9828,16.9821,1.0001
0.15,0.257583,1.00045,15.9801,14.9803,16.9797,1.00011
0.16,0.27233,1.00049,15.9775,14.9778,16.9771,1.00013
0.17,0.286846,1.00056,15.9747,14.9751,16.9743,1.00016
0.18,0.301246,1.00067,15.9718,14.9723,16.9713,1.0002
0.19,0.315257,1.00081,15.9688,14.9693,16.9682,1.00026
0.2,0.329066,1.00096,15.9656,14.9662,16.9649,1.00031
0.21,0.342602,1.00112,15.9622,14.963,16.9615,1.00036
0.22,0.355884,1.0013,15.9588,14.9597,16.9579,1.00041
0.23,0.368936,1.00156,15.9552,14.9563,16.9542,1.00051
0.24,0.381603,1.00185,15.9514,14.9528,16.9503,1.00061
0.25,0.394254,1.00214,15.9476,14.9491,16.9462,1.0007
0.26,0.406628,1.00245,15.9436,14.9453,16.942,1.00078
0.27,0.418769,1.00283,15.9395,14.9414,16.9376,1.00092
0.28,0.430777,1.00323,15.9353,14.9374,16.9331,1.00105
0.29,0.442508,1.00366,15.9309,14.9333,16.9284,1.00118
0.3,0.454021,1.00416,15.9265,14.9291,16.9235,1.00132
0.31,0.465313,1.00472,15.9219,14.9249,16.9185,1.0015
0.32,0.476384,1.0053,15.9172,14.9205,16.9133,1.00167
0.33,0.487259,1.00589,15.9124,14.9161,16.9081,1.00185
0.34,0.497935,1.00658,15.9075,14.9116,16.9026,1.00208
0.35,0.508377,1.0073,15.9025,14.907,16.8971,1.00231
0.36,0.518661,1.00805,15.8973,14.9023,16.8914,1.00252
0.37,0.528706,1.0089,15.8921,14.8976,16.8855,1.00281
0.38,0.538569,1.00978,15.8868,14.8928,16.8795,1.00308
0.39,0.548193,1.01071,15.8814,14.888,16.8734,1.00334
0.4,0.557646,1.01172,15.8759,14.883,16.8671,1.00367
0.41,0.566892,1.01274,15.8703,14.8779,16.8606,1.00399
0.42,0.575919,1.01378,15.8646,14.8728,16.8541,1.0043
0.43,0.584681,1.0149,15.8588,14.8675,16.8474,1.00468
0.44,0.593559,1.01608,15.8529,14.8623,16.8406,1.00504
0.45,0.602051,1.0173,15.8469,14.857,16.8337,1.00542
0.46,0.610296,1.01862,15.8409,14.8517,16.8266,1.00583
0.47,0.618396,1.01996,15.8348,14.8463,16.8194,1.00623
0.48,0.6263,1.02141,15.8286,14.8409,16.812,1.00667
0.49,0.634046,1.0229,15.8223,14.8353,16.8045,1.00712
0.5,0.641601,1.02444,15.8159,14.8298,16.7968,1.00755
0.51,0.649011,1.02609,15.8095,14.8242,16.789,1.00806
0.52,0.656029,1.02776,15.803,14.8185,16.7811,1.00854
0.53,0.663026,1.02946,15.7964,14.8127,16.773,1.00904
0.54,0.669864,1.03126,15.7897,14.8069,16.7648,1.00958
0.55,0.676543,1.03309,15.783,14.801,16.7565,1.0101
0.56,0.683016,1.03506,15.7762,14.7952,16.748,1.01067
0.57,0.689288,1.03707,15.7694,14.7892,16.7394,1.01124
0.58,0.6954,1.03915,15.7625,14.7833,16.7307,1.01181
0.59,0.701345,1.04131,15.7555,14.7773,16.7218,1.01242
0.6,0.707142,1.04351,15.7485,14.7713,16.7129,1.01301
0.61,0.712731,1.04582,15.7414,14.7653,16.7038,1.01365
0.62,0.718165,1.04819,15.7342,14.7592,16.6945,1.01429
0.63,0.723356,1.05058,15.727,14.7531,16.6852,1.01493
0.64,0.728416,1.05306,15.7198,14.7468,16.6757,1.01561
0.65,0.733294,1.05555,15.7125,14.7406,16.6661,1.01625
0.66,0.738142,1.05822,15.7051,14.7343,16.6564,1.01696
0.67,0.742813,1.06089,15.6977,14.7281,16.6466,1.01765
0.68,0.747299,1.0637,15.6903,14.7218,16.6366,1.01839
0.69,0.751644,1.06656,15.6828,14.7155,16.6265,1.01912
0.7,0.755863,1.06952,15.6753,14.7091,16.6163,1.01987
0.71,0.759741,1.07255,15.6677,14.7028,16.606,1.02064
0.72,0.763686,1.07561,15.6601,14.6964,16.5956,1.02141
0.73,0.767502,1.07875,15.6525,14.6899,16.5851,1.02222
0.74,0.771137,1.08191,15.6448,14.6834,16.5745,1.02299
0.75,0.774641,1.08518,15.6371,14.6769,16.5638,1.02384
0.76,0.77801,1.08854,15.6293,14.6704,16.553,1.02465
0.77,0.781429,1.09199,15.6215,14.6638,16.542,1.0255
0.78,0.784553,1.0955,15.6137,14.6572,16.531,1.02633
0.79,0.787585,1.09908,15.6058,14.6507,16.5198,1.02718
0.8,0.790417,1.10277,15.598,14.6441,16.5086,1.02805
0.81,0.793135,1.10649,15.59,14.6375,16.4972,1.02889
0.82,0.795884,1.11033,15.5821,14.6308,16.4858,1.02979
0.83,0.798325,1.11413,15.5741,14.6241,16.4742,1.03064
0.84,0.800791,1.11806,15.5662,14.6173,16.4626,1.03154
0.85,0.80307,1.12202,15.5581,14.6106,16.4509,1.03241
0.86,0.805287,1.12613,15.5501,14.6039,16.4391,1.03332
0.87,0.807395,1.13026,15.5421,14.5971,16.4272,1.03421
0.88,0.809384,1.1345,15.534,14.5904,16.4152,1.03513
0.89,0.811333,1.13879,15.5259,14.5836,16.4032,1.03605
0.9,0.813123,1.14315,15.5178,14.5768,16.3911,1.03697
0.91,0.814819,1.14757,15.5096,14.57,16.3789,1.03792
0.92,0.816437,1.152,15.5015,14.5631,16.3667,1.03884
0.93,0.817931,1.15651,15.4933,14.5562,16.3544,1.03981
0.94,0.819377,1.16107,15.4851,14.5493,16.342,1.04073
0.95,0.820807,1.16577,15.4769,14.5424,16.3295,1.04172
0.96,0.822146,1.17049,15.4687,14.5355,16.317,1.04266
0.97,0.823357,1.1753,15.4605,14.5285,16.3045,1.04363
0.98,0.824556,1.18015,15.4523,14.5216,16.2919,1.04459
0.99,0.825586,1.18506,15.444,14.5147,16.2792,1.04555
1,0.826593,1.19005,15.4358,14.5078,16.2665,1.04652
1.01,0.827505,1.19499,15.4275,14.5007,16.2538,1.04746
1.02,0.828364,1.2,15.4192,14.4936,16.241,1.04844
1.03,0.829219,1.20504,15.411,14.4866,16.2282,1.04938
1.04,0.830002,1.21026,15.4027,14.4796,16.2154,1.05038
1.05,0.830749,1.21544,15.3944,14.4725,16.2025,1.05133
1.06,0.831378,1.22079,15.3861,14.4655,16.1896,1.05234
1.07,0.831986,1.2261,15.3777,14.4585,16.1766,1.05331
1.08,0.832503,1.23155,15.3694,14.4515,16.1636,1.05432
1.09,0.833008,1.23697,15.3611,14.4444,16.1507,1.0553
1.1,0.833454,1.24242,15.3528,14.4373,16.1377,1.0563
1.11,0.833845,1.24784,15.3445,14.4302,16.1248,1.0573
1.12,0.83424,1.25324,15.3361,14.4231,16.112,1.05828
1.13,0.83456,1.25859,15.3278,14.416,16.0993,1.05929
1.14,0.834852,1.26385,15.3194,14.4089,16.0867,1.06025
1.15,0.835102,1.2691,15.3111,14.4018,16.0743,1.06127
1.16,0.835246,1.27421,15.3027,14.3947,16.062,1.06223
1.17,0.835408,1.27934,15.2944,14.3876,16.0498,1.06324
