time,velocity,ratio,centerX,Xmax,Xmin,Ymax
0,0,1,3.5,2.5,4.5,1
0.01,0.0197231,1.00002,3.4999,2.49992,4.49988,1
0.02,0.0394669,1.00002,3.49961,2.49962,4.49959,1.00001
0.03,0.0591333,1.00007,3.49911,2.49918,4.49906,1.00002
0.04,0.0787289,1.00009,3.49843,2.49849,4.49837,1.00003
0.05,0.0982454,1.00013,3.49754,2.49763,4.49745,1.00004
0.06,0.117651,1.00017,3.49646,2.49657,4.49635,1.00005
0.07,0.13698,1.00019,3.49519,2.49533,4.49504,1.00005
0.08,0.156277,1.00018,3.49372,2.49386,4.49357,1.00003
0.09,0.175658,1.00019,3.49207,2.49222,4.4919,1.00002
0.1,0.195683,1.00018,3.49021,2.49037,4.49007,1.00003
0.11,0.216793,1.00007,3.48815,2.48822,4.48816,1.00004
0.12,0.238808,1.00005,3.48587,2.48594,4.48605,1.0001
0.13,0.260821,1.00012,3.48338,2.4835,4.48354,1.00014
0.14,0.279891,1.00019,3.48067,2.48087,4.48073,1.00012
0.15,0.298922,1.00051,3.47778,2.47819,4.4772,1.00001
0.16,0.318176,1.00047,3.47469,2.47515,4.47422,1.00001
0.17,0.338561,1.00039,3.47141,2.47179,4.47119,1.00009
0.18,0.359699,1.00014,3.46792,2.46776,4.46799,1.00026
0.19,0.377926,1.00014,3.46424,2.46415,4.46437,1.00025
0.2,0.396626,1.00047,3.46036,2.46063,4.45984,1.00007
0.21,0.416273,1.00064,3.4563,2.45717,4.45577,0.999939
0.22,0.436818,1.00051,3.45204,2.45275,4.45182,1.00005
0.23,0.455312,1.00024,3.44758,2.44754,4.44758,1.00026
0.24,0.474316,1.00024,3.44293,2.44271,4.44273,1.00025
0.25,0.494234,1.00036,3.43809,2.43826,4.43785,1.00015
0.26,0.512755,1.00078,3.43305,2.43397,4.43251,1.00005
0.27,0.53145,1.00086,3.42783,2.42842,4.42687,1.00009
0.28,0.550728,1.00055,3.42242,2.42268,4.42191,1.00017
0.29,0.56888,1.00041,3.41683,2.41699,4.41688,1.00036
0.3,0.587612,1.00078,3.41105,2.41172,4.41087,1.00035
0.31,0.606611,1.00073,3.40507,2.40552,4.40451,1.00022
0.32,0.624802,1.0011,3.39892,2.39968,4.39776,1.00014
0.33,0.643699,1.00118,3.39258,2.39356,4.39173,1.00026
0.34,0.66199,1.00072,3.38605,2.38654,4.3858,1.00035
0.35,0.680452,1.00073,3.37934,2.37954,4.37897,1.00044
0.36,0.699183,1.0011,3.37244,2.37283,4.37143,1.0004
0.37,0.717755,1.00111,3.36536,2.36638,4.36461,1.00022
0.38,0.736875,1.00123,3.35808,2.35929,4.35725,1.00021
0.39,0.75486,1.00125,3.35062,2.35152,4.34982,1.0004
0.4,0.773365,1.00102,3.34298,2.34344,4.34235,1.00047
0.41,0.79138,1.00086,3.33516,2.33546,4.33471,1.00048
0.42,0.809748,1.00154,3.32716,2.32844,4.3262,1.00042
0.43,0.827608,1.00154,3.31897,2.32002,4.31761,1.00033
0.44,0.845773,1.00154,3.3106,2.31173,4.30931,1.00033
