Lrise,Ga,Bo,maxVelocity,Ratio,max_ratio,L_bounce_center,L_bounce_upper,t_last
40,100,0.001,6.67494,1.01144,1.14444,6.2409,6.1105,10.39
40,100,0.004,7.21537,1.05712,1.3352,6.5538,6.319,10.57
40,100,0.007,6.96831,1.09847,1.45214,6.2614,5.9855,10.79
40,100,0.01,6.66263,1.13238,1.53642,5.8253,5.513,10.93
40,100,0.04,5.27795,1.46375,2.10173,4.7572,4.2933,12.31
40,100,0.07,4.49584,1.69867,2.47581,4.0121,3.5581,13.45
40,100,0.1,3.99831,1.88606,2.7295,3.4001,2.9234,14.46
40,100,0.4,2.55627,2.5699,3.93053,1.2525,0.6389,21.05
40,100,0.7,3.24124,0.945568,3.62909,0.6337,0.1514,25.5
40,100,1,2.96588,0.973321,4.05347,0.691,0.013,29.35
40,80,0.001,6.65933,1.01145,1.13949,5.8849,5.7504,10.64
40,80,0.004,6.82066,1.05075,1.30845,5.6704,5.4392,10.76
40,80,0.007,6.53767,1.08483,1.41196,5.2014,4.9251,10.9
40,80,0.01,6.34713,1.1182,1.49801,5.0372,4.7266,11.08
40,80,0.04,5.07058,1.40399,1.98684,3.9536,3.537,12.37
40,80,0.07,4.34764,1.60761,2.31729,3.3862,2.8997,13.49
40,80,0.1,3.88882,1.76905,2.54769,2.9059,2.4619,14.42
40,80,0.4,2.44267,2.49058,3.99506,1.2905,0.4356,20.84
40,80,0.7,2.8638,1.2411,8.1274,0.5648,0.1504,25.52
40,80,1,2.79813,1.04723,5.22971,0.7753,0.2235,28.99
40,60,0.001,6.40079,1.01058,1.1333,4.9364,4.8062,10.8
40,60,0.004,6.10155,1.03978,1.26332,4.216,4.0047,11.04
40,60,0.007,5.92342,1.06737,1.35405,3.952,3.697,11.2
40,60,0.01,5.78304,1.09588,1.42471,3.8267,3.5378,11.33
40,60,0.04,4.72748,1.32123,1.83384,2.9638,2.5533,12.59
40,60,0.07,4.11569,1.48602,2.10407,2.5815,2.1584,13.65
40,60,0.1,3.70824,1.61815,2.3016,2.2657,1.7264,14.64
40,60,0.4,2.34909,2.28054,3.35055,1.1071,0.6453,20.93
40,60,0.7,2.01186,2.52886,4.36274,0.8374,0.2912,25.2
40,60,1,2.07505,2.09113,5.93179,0.7984,0.1614,28.56
40,50,0.001,5.68492,1.00809,1.11637,3.7394,3.6221,11.25
40,50,0.004,5.52813,1.03219,1.22905,3.2715,3.0715,11.4
40,50,0.007,5.44441,1.05624,1.31022,3.1126,2.8755,11.45
40,50,0.01,5.29171,1.07775,1.36767,2.9606,2.6853,11.62
40,50,0.04,4.45474,1.26801,1.73818,2.3832,2.021,12.85
40,50,0.07,3.92985,1.41,1.9736,2.1051,1.6991,13.89
40,50,0.1,3.56387,1.52173,2.14202,1.8609,1.4108,14.86
40,50,0.4,2.29429,2.12797,3.06764,0.9733,0.4957,21.05
40,50,0.7,1.92385,2.43576,3.8154,0.6746,0.1093,25.14
40,50,1,1.75983,2.62943,4.39264,0.5242,0.0,28.34
40,40,0.001,4.79821,1.0058,1.09384,2.5299,2.4276,11.75
40,40,0.004,4.8917,1.02446,1.19382,2.2956,2.1183,11.9
40,40,0.007,4.80845,1.04242,1.25918,2.2065,1.9979,12.05
40,40,0.01,4.70099,1.05905,1.3083,2.1028,1.8596,12.18
40,40,0.04,4.08176,1.20756,1.62294,1.7416,1.3854,13.36
40,40,0.07,3.66255,1.32245,1.81382,1.5687,1.1411,14.38
40,40,0.1,3.35584,1.41399,1.95907,1.421,1.0181,15.25
40,40,0.4,2.22676,1.93755,2.7662,0.7977,0.3091,21.34
40,40,0.7,1.87407,2.23698,3.40788,0.5732,0.0002,25.29
40,40,1,1.68029,2.47063,3.99443,0.4525,0.0,28.38
40,30,0.001,4.10879,1.00414,1.07503,1.6157,1.5368,12.99
40,30,0.004,4.08314,1.01649,1.15108,1.3811,1.2341,13.01
40,30,0.007,3.95372,1.02727,1.19587,1.2623,1.08,13.2
40,30,0.01,3.91946,1.03893,1.23759,1.2291,1.0257,13.33
